Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon.com,103-5418934-9398441,2022-01-24T03:43:56Z,Not Applicable,USD,25.69,1.8,0,0,27.49,25.69,1.8,B07YTF1HHQ,New,1,Visa - 7743,Closed,Shipped,2022-01-29T03:43:56.000Z,std-n-us,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,AMZN_US(TBA296546131054),Govee Smart LED Strip Lights 32.8ft,Not Available,Not Available,Not Available,Not Available
Amazon.com,713-6438436-9197443,2022-01-17T03:55:40Z,Not Applicable,USD,19.91,1.39,0,0,21.3,19.91,1.39,B08KH62L3W,New,1,Visa - 7743,Closed,Shipped,2022-01-20T03:55:40.000Z,next-1dc,Jordan Kim 5 HARBOR VIEW RD SEATTLE WA 98101-4411 United States,Jordan Kim 5 HARBOR VIEW RD SEATTLE WA 98101-4411 United States,AMZN_US(TBA220342736258),Neutrogena Hydro Boost Water Gel SPF 15 1.7 oz,Not Available,Not Available,Not Available,Not Available
Amazon.com,231-8973915-3770370,2022-01-12T09:15:03Z,Not Applicable,USD,320.5,22.44,0,0,342.94,320.5,22.44,B09BCV7D4M,New,1,Visa - 4821,Closed,Shipped,2022-01-14T09:15:03.000Z,std-us,Jordan Kim 5 HARBOR VIEW RD SEATTLE WA 98101-4411 United States,Jordan Kim 5 HARBOR VIEW RD SEATTLE WA 98101-4411 United States,AMZN_US(TBA680958994499),iRobot Roomba i3 EVO Wi-Fi Connected Robot Vacuum,Not Available,Not Available,Not Available,Not Available
Amazon.com,548-9683481-8574680,2022-01-28T19:27:13Z,Not Applicable,USD,23.5,1.65,0,0,25.15,23.5,1.65,B07YTF1HHQ,New,1,Gift Certificate/Card and Visa - 4821,Closed,Shipped,2022-02-02T19:27:13.000Z,second,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,AMZN_US(TBA371102648727),Govee Smart LED Strip Lights 32.8ft,Not Available,Not Available,Not Available,Not Available
Amazon.com,169-1527021-6543670,2022-01-08T02:21:01Z,Not Applicable,USD,35.86,2.51,0,0,38.37,35.86,2.51,B07YFF3J3K,New,1,Visa - 4821,Closed,Shipped,2022-01-13T02:21:01.000Z,expd-consolidated-us,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,AMZN_US(TBA662945045779),Crest 3D Whitestrips Professional Effects 20 Treatments,Not Available,Not Available,Not Available,Not Available
Amazon.com,926-7829332-4194548,2022-01-08T08:42:31Z,Not Applicable,USD,41.3,2.89,0,0,44.19,41.3,2.89,B07YFF3J3K,New,1,Visa - 7743,Closed,Shipped,2022-01-10T08:42:31.000Z,std-n-us,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,AMZN_US(TBA203484341332),Crest 3D Whitestrips Professional Effects 20 Treatments,Not Available,Not Available,Not Available,Not Available
Amazon.com,512-6692553-2833230,2022-01-22T13:22:27Z,Not Applicable,USD,59.2,4.14,0,0,126.68,118.4,8.28,B08DFPV5RP,New,2,Visa - 4821,Closed,Shipped,2022-01-26T13:22:27.000Z,next-1dc,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,AMZN_US(TBA311521368324),Ring Video Doorbell Wired,Not Available,Not Available,Not Available,Not Available
Amazon.com,151-1247595-2564689,2022-01-07T17:28:08Z,Not Applicable,USD,26.59,1.86,0,0,28.45,26.59,1.86,B08BHXG144,New,1,Gift Certificate/Card,Cancelled,Not Available,Not Available,rush,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,Not Available,Anker 65W Fast Charger USB-C Wall Charger,Not Available,Not Available,Not Available,Not Available
Amazon.com,371-8633773-5785687,2022-01-25T07:10:26Z,Not Applicable,USD,68.6,4.8,0,0,73.4,68.6,4.8,B07H1RNMXC,New,1,Visa - 4821,Closed,Shipped,2022-01-29T07:10:26.000Z,std-us-5,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,Morgan Lee 88 BIRCHWOOD LN APT 3B DENVER CO 80203-5541 United States,AMZN_US(TBA866320981994),Tile Mate Bluetooth Tracker 4-Pack,Not Available,Not Available,Not Available,Not Available
Amazon.com,865-6261415-1959074,2022-02-24T17:42:45Z,Not Applicable,USD,56.6,3.96,0,0,60.56,56.6,3.96,B01NAWKBH0,New,1,Gift Certificate/Card,Closed,Shipped,2022-02-28T17:42:45.000Z,next-1dc,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,Chris Taylor 1002 SUNSET BLVD AUSTIN TX 78701-2200 United States,AMZN_US(TBA740165486786),Logitech MX Master 2S Wireless Mouse,Not Available,Not Available,Not Available,Not Available
Amazon.com,791-4946066-7774229,2022-02-16T16:58:54Z,Not Applicable,USD,28.03,1.96,0,0,29.99,28.03,1.96,B08BHXG144,New,1,Gift Certificate/Card,Closed,Shipped,2022-02-21T16:58:54.000Z,rush,Alex Johnson 4521 MAPLE RIDGE DR SPRINGFIELD IL 62704-1832 United States,Alex Johnson 4521 MAPLE RIDGE DR SPRINGFIELD IL 62704-1832 United States,AMZN_US(TBA726594012825),Anker 65W Fast Charger USB-C Wall Charger,Not Available,Not Available,Not Available,Not Available
Amazon.com,344-5456272-7640184,2022-02-08T18:38:02Z,Not Applicable,USD,15.18,1.06,0,0,16.24,15.18,1.06,B09KZ6TBNY,New,1,Visa - 7743,Closed,Shipped,2022-02-13T18:38:02.000Z,second,Alex Johnson 4521 MAPLE RIDGE DR SPRINGFIELD IL 62704-1832 United States,Alex Johnson 4521 MAPLE RIDGE DR SPRINGFIELD IL 62704-1832 United States,AMZN_US(TBA835001525541),iHealth COVID-19 Antigen Rapid Test 2-Pack,Not Available,Not Available,Not Available,Not Available
